region,time,sector,intermediate,product,element,value
EU27+1,1946,Construction,Steel Intermediary,Light Sections,All,503.16354119654574
EU27+1,1946,Construction,Steel Intermediary,Light Sections,Cu,0.0
EU27+1,1946,Construction,Steel Intermediary,Heavy Sections,All,930.3212028992774
EU27+1,1946,Construction,Steel Intermediary,Heavy Sections,Cu,0.0
EU27+1,1946,Construction,Steel Intermediary,Rail,All,197.58213082101375
EU27+1,1946,Construction,Steel Intermediary,Rail,Cu,0.0
EU27+1,1946,Construction,Steel Intermediary,Rebar,All,2019.5584060353624
EU27+1,1946,Construction,Steel Intermediary,Rebar,Cu,0.0
EU27+1,1946,Construction,Steel Intermediary,Wire Rod,All,1828.6291079306952
EU27+1,1946,Construction,Steel Intermediary,Wire Rod,Cu,0.0
EU27+1,1946,Construction,Steel Intermediary,Hot Rolled Bar,All,46.95448376896533
EU27+1,1946,Construction,Steel Intermediary,Hot Rolled Bar,Cu,0.0
EU27+1,1946,Construction,Steel Intermediary,Plate,All,59.89578095383617
EU27+1,1946,Construction,Steel Intermediary,Plate,Cu,0.0
EU27+1,1946,Construction,Steel Intermediary,Hot Rolled Coil,All,2433.7106799964454
EU27+1,1946,Construction,Steel Intermediary,Hot Rolled Coil,Cu,0.0
EU27+1,1946,Construction,Steel Intermediary,Hot Rolled Coil Galvanized,All,185.04434660979192
EU27+1,1946,Construction,Steel Intermediary,Hot Rolled Coil Galvanized,Cu,0.0
EU27+1,1946,Construction,Steel Intermediary,Hot Rolled Narrow Strip,All,184.0953035711421
EU27+1,1946,Construction,Steel Intermediary,Hot Rolled Narrow Strip,Cu,0.0
EU27+1,1946,Construction,Steel Intermediary,Cold Rolled Coil,All,1115.1228299618795
EU27+1,1946,Construction,Steel Intermediary,Cold Rolled Coil,Cu,0.0
EU27+1,1946,Construction,Steel Intermediary,Cold Rolled Coil Galvanized,All,0.0
EU27+1,1946,Construction,Steel Intermediary,Cold Rolled Coil Galvanized,Cu,0.0
